eclipse,ix
32725,1807
31289,1131
9225,317
25607,944
9900,380
33838,1213
11840,471
5421,110
38760,1350
13484,534
16311,682
10544,413
16643,1670
41726,1940
17926,747
34446,1227
38967,1895
41960,1950
38424,1881
2609,1538
15733,649
36578,1297
15133,631
9795,361
16190,677
10463,403
41416,1935
30860,1115
27128,1014
15449,645
23892,903
5386,107
28592,1778
3987,49
44078,1986
7254,1560
14481,594
39025,1357
36645,1299
21229,811
9248,323
14428,591
43037,1463
9276,327
38395,1334
16326,684
11753,470
9903,381
25304,941
1929,19
44383,1998
9904,382
16207,1658
42365,1957
26573,988
30574,1102
28325,1026
6501,144
33309,1812
32756,1191
9194,306
14467,592
6617,149
41414,1934
9837,365
11993,483
38290,1333
17080,724
45040,2021
36175,1290
20382,783
46117,2041
16499,692
